Sr No,Name,Category,Nature of Activities,Mail ID,Current Advisor Name,Suggested Advisors,Student Life PoC
19,Enactus,Club,Ashoka Chapter of an international non-profit enabling students to create sustainable businesses addressing social issues and employment.,enactus@ashoka.edu.in,"Ekanto Ghosh , Prof. Advaita",Bhaskar Mishra,Nitin
20,Neev,Club,A student-run club fostering collaborative community engagement between Ashoka and its local surroundings.,neev@ashoka.edu.in,Bittu ,Bhaskar Mishra,Nitin
21,Orators,Club,"The club fosters public speaking skills at Ashoka through practice, feedback, and peer mentoring.",orators@ashoka.edu.in,Justin Mccarthy,Ali Imran,Nitin
22,Quizzing Club,Club,"The club popularizes quizzing at Ashoka by organizing regular, open events for active engagement.",quizzing@ashoka.edu.in,Alok Thakkar,Ali Imran,Anand
23,Ashoka Debating Union,Club,"The Ashoka Debating Union (ADU) is committed to establishing and nurturing a strong culture of organized debating at Ashoka University. Through regular training sessions, practice debates, and workshops, the club equips students with critical thinking, public speaking, and analytical skill",debating@ashoka.edu.in,Kastuv chakravarti,Ali Imran,Nitin
24,Ashoka Farm Fresh,Club,The aim of the club is to actively grow organic vegetables and host events to distribute the produce on campus.,farmfresh@ashoka.edu.in,Shivani Krishna,Himanshu Sachdev,Minha
25,Ruhi,Club,"The club teaches English to support staff, fostering bonds and helping them reach their potential.",ruhi@ashoka.edu.in,Bittu,Himanshu Sachdev,Nitin
26,The Anime Club ,Club,The club unites Ashokans to appreciate and explore all forms of anime and anime-inspired works.,anime@ashoka.edu.in,Abir Bazaz,Jasrita Dhir,Anand
27,CODA,Club,The Annual Yearbook club for graduating Ashokan students,coda@ashoka.edu.in,-,Jasrita Dhir,Nitin
28,Caperture,Club,The club fosters an enriching photography culture at Ashoka through creative initiatives and engagement.,caperture@ashoka.edu.in,Arish Azmat,Mani Lamba,Anand
29,Khayaal,Club,"Khayal fosters a culture of filmmaking, encouraging creation, appreciation, and critique of movies.",filmmakingclub@ashoka.edu.in,A K Ranjit,Mani lamba,Anand
30,Red Brick Words,Club,"The club provides a platform for students to explore, write, and perform spoken word poetry.",poetry@ashoka.edu.in,-,Mani lamba,Anand
31,The Comic Relief ,Club ,"The Comic Relief is Ashoka University’s comedy club, offering much-needed laughter and lightness amidst the rigors of academic life. With a focus on stand-up, improv, and sketch comedy, the club provides a creative outlet for students to unwind, express themselves, and connect through humor",thecomicrelief@ashoka.edu.in,Amit Julka,Priyanka Chandhok,Anand
32,Ashoka Fintech Club,Club,"The club fosters innovation in fintech through workshops, industry engagement, and collaborative projects for students.",fintech@ashoka.edu.in,-,Harshit Godha,Anand
33,Ashoka Investment Club,Club,"The club brings together finance enthusiasts to develop skills in investment management through company analysis, stock presentations, expert meetings, and job mentoring.",investmentsclub@ashoka.edu.in,Akhil Dhawan,Meghnad Mitra; Manish Gupta ,Anand
34,Ashoka Women in Business & Leadership ,Club,"The club empowers young women with skills, mentorship, and a network for career growth.",awibnl@ashoka.edu.in,Shanti Srivastava,Shipra Tripathi,Minha
35,AUSDG,Club,The Society for Sustainable Development Goals fosters conversations and projects focused on global sustainability practices.,ausdg@ashoka.edu.in,,Devendra Gupta,Nitin
36,CLAD,Club,"CLAD promotes fashion, makeup, and design appreciation at Ashoka, emphasizing creativity, inclusivity, and accessibility.",clad@ashoka.edu.in,-,Gitanjali Gandhiok,Minha
37,Eeshto,Society,The society promotes a board gaming culture on campus to facilitate learning through games.,eeshto@ashoka.edu.in,Debayan Gupta,Somdutt &Ashutosh,Minha
38,Kaagazi,Club,Aims to foster a culture of Origami and sustainability,kaagazi@ashoka.edu.in,-,Shiuli Biswas,Nitin
39,Kalinga Magazine,Club,A humor magazine satirizing the everyday trivialities of campus life.,kalinga@ashoka.edu.in,A.K. Ranjit,Vivek Srivastav,Nitin
40,Mad batter,Club,"The club popularizes baking on campus, develops skills, and provides a platform to share passions.",madbatter@ashoka.edu.in,"Jonathan Gill Harris, Madhavi Menon",Anu Singh,Anand
41,Pawsitive,Club,"The club works for animal welfare, fostering a campus culture of comfort and unconditional love.",pawsitive@ashoka.edu.in,Danny Weltman,Sachin Sharma,Nitin
42,Siyahi,Club,"The club expands art culture on campus through accessible events, installations, and collaborations with societies.",art.society@ashoka.edu.in,Professor Latika Gupta,Rashmi Berry,Anand
43,Vistaar ,Society,"The club fosters an inclusive, collaborative music community that promotes growth, creativity, and professionalism.",vistaar@ashoka.edu.in,-,Anju Jayraj,Anand
44,Ashoka Consulting Club,Club,"The club unites dedicated students from diverse majors to develop problem-solving skills, compete in case studies, excel in consulting interviews, and enhance structured thinking, logical reasoning, and communication.",consulting@ashoka.edu.in,Priyatham,Venkat Eshwara,Minha
